epoch,train_loss,train_acc,val_loss,val_acc
0,0.3765,0.7874,0.2327,0.8641
1,0.1547,0.9046,0.1158,0.9274
2,0.1068,0.9285,0.1055,0.9313
3,0.0729,0.9526,0.0591,0.9631
4,0.0567,0.9632,0.0502,0.9682
5,0.0483,0.9679,0.0430,0.9725
6,0.0444,0.9698,0.0397,0.9739
7,0.0402,0.9723,0.0375,0.9762
8,0.0363,0.9744,0.0347,0.9768
9,0.0339,0.9758,0.0376,0.9745
10,0.0334,0.9761,0.0310,0.9785
11,0.0307,0.9774,0.0302,0.9793
12,0.0288,0.9787,0.0290,0.9794
13,0.0277,0.9796,0.0258,0.9808
14,0.0262,0.9803,0.0262,0.9816
15,0.0257,0.9805,0.0266,0.9813
16,0.0241,0.9816,0.0262,0.9829
17,0.0235,0.9823,0.0250,0.9819
18,0.0227,0.9827,0.0222,0.9843
19,0.0224,0.9825,0.0215,0.9845
20,0.0221,0.9831,0.0202,0.9853
21,0.0211,0.9835,0.0209,0.9853
22,0.0207,0.9839,0.0193,0.9862
23,0.0194,0.9847,0.0211,0.9846
24,0.0190,0.9848,0.0203,0.9855
25,0.0192,0.9850,0.0201,0.9847
26,0.0181,0.9854,0.0183,0.9867
27,0.0182,0.9856,0.0184,0.9867
28,0.0174,0.9860,0.0185,0.9856
29,0.0187,0.9852,0.0190,0.9851
