epoch,train_loss,train_acc,val_loss,val_acc
0,0.1288,0.9224,0.0266,0.9803
1,0.0229,0.9815,0.0219,0.9831
2,0.0166,0.9863,0.0149,0.9870
3,0.0133,0.9884,0.0145,0.9877
4,0.0113,0.9899,0.0109,0.9898
5,0.0098,0.9910,0.0110,0.9895
6,0.0086,0.9920,0.0090,0.9922
7,0.0072,0.9931,0.0084,0.9928
8,0.0063,0.9938,0.0102,0.9917
9,0.0060,0.9941,0.0092,0.9914
10,0.0052,0.9946,0.0054,0.9948
11,0.0046,0.9951,0.0056,0.9943
12,0.0045,0.9953,0.0062,0.9941
13,0.0040,0.9958,0.0067,0.9943
14,0.0036,0.9960,0.0054,0.9950
15,0.0036,0.9959,0.0063,0.9941
16,0.0034,0.9962,0.0081,0.9930
17,0.0033,0.9964,0.0054,0.9949
18,0.0033,0.9963,0.0055,0.9951
19,0.0028,0.9969,0.0047,0.9959
20,0.0028,0.9969,0.0045,0.9954
21,0.0029,0.9968,0.0059,0.9940
22,0.0028,0.9966,0.0051,0.9950
23,0.0024,0.9972,0.0044,0.9962
24,0.0023,0.9973,0.0046,0.9956
25,0.0024,0.9973,0.0049,0.9961
26,0.0019,0.9978,0.0052,0.9948
27,0.0022,0.9974,0.0057,0.9946
28,0.0022,0.9974,0.0049,0.9956
29,0.0021,0.9975,0.0060,0.9946
