epoch,train_loss,train_acc,val_loss,val_acc
0,0.1924,0.8934,0.0645,0.9574
1,0.0553,0.9622,0.0488,0.9657
2,0.0441,0.9689,0.0392,0.9729
3,0.0370,0.9730,0.0370,0.9727
4,0.0333,0.9749,0.0348,0.9748
5,0.0292,0.9776,0.0303,0.9778
6,0.0276,0.9781,0.0290,0.9784
7,0.0252,0.9795,0.0278,0.9783
8,0.0237,0.9806,0.0302,0.9787
9,0.0225,0.9815,0.0253,0.9805
10,0.0210,0.9825,0.0259,0.9807
11,0.0198,0.9832,0.0234,0.9822
12,0.0189,0.9835,0.0234,0.9813
13,0.0182,0.9841,0.0228,0.9822
14,0.0171,0.9848,0.0223,0.9821
15,0.0165,0.9851,0.0231,0.9827
16,0.0158,0.9856,0.0213,0.9836
17,0.0158,0.9857,0.0221,0.9829
18,0.0152,0.9863,0.0222,0.9825
19,0.0142,0.9868,0.0204,0.9842
20,0.0138,0.9869,0.0214,0.9825
21,0.0132,0.9872,0.0206,0.9833
22,0.0135,0.9869,0.0202,0.9847
23,0.0126,0.9877,0.0203,0.9838
24,0.0125,0.9877,0.0205,0.9836
25,0.0116,0.9883,0.0216,0.9850
26,0.0123,0.9878,0.0208,0.9841
27,0.0113,0.9888,0.0202,0.9832
28,0.0110,0.9889,0.0205,0.9856
29,0.0107,0.9891,0.0199,0.9828
