epoch,train_loss,train_acc,val_loss,val_acc
0,0.3346,0.8138,0.1387,0.9114
1,0.4409,0.7743,0.5229,0.7195
2,0.3780,0.7776,0.2261,0.8517
3,0.1994,0.8830,0.1619,0.8970
4,0.1551,0.9056,0.1170,0.9254
5,0.1124,0.9284,0.0947,0.9375
6,0.0989,0.9359,0.0983,0.9366
7,0.0929,0.9399,0.0813,0.9464
8,0.0835,0.9454,0.0812,0.9473
9,0.0734,0.9515,0.0662,0.9568
10,0.0667,0.9556,0.0607,0.9589
11,0.0617,0.9585,0.0594,0.9600
12,0.0599,0.9599,0.0527,0.9649
13,0.0527,0.9642,0.0776,0.9501
14,0.0540,0.9633,0.0503,0.9675
15,0.0498,0.9655,0.0467,0.9686
16,0.0491,0.9656,0.0450,0.9687
17,0.0429,0.9693,0.0448,0.9695
18,0.0416,0.9701,0.0387,0.9722
19,0.0408,0.9705,0.0388,0.9729
20,0.0377,0.9724,0.0406,0.9708
21,0.0380,0.9723,0.0377,0.9738
22,0.0344,0.9742,0.0339,0.9755
23,0.0341,0.9743,0.0375,0.9732
24,0.0343,0.9744,0.0334,0.9754
25,0.0315,0.9760,0.0325,0.9762
26,0.0310,0.9761,0.0343,0.9744
27,0.0309,0.9765,0.0302,0.9776
28,0.0287,0.9773,0.0301,0.9772
29,0.0282,0.9777,0.0322,0.9768
