,precision,recall,f1-score,support
!,0.0,0.0,0.0,111.0
"""",0.0,0.0,0.0,249.0
+,0.0,0.0,0.0,402.0
/,0.7777777777777778,0.001609935602575897,0.003213220105577232,4348.0
A,0.0,0.0,0.0,1163.0
E,0.0,0.0,0.0,79.0
F,0.0,0.0,0.0,372.0
J,0.0,0.0,0.0,47.0
L,0.0,0.0,0.0,4905.0
N,0.6891024138739161,0.9905005726605134,0.8127591353861463,44529.0
Q,0.0,0.0,0.0,16.0
R,0.0,0.0,0.0,4934.0
S,0.0,0.0,0.0,1.0
V,0.0,0.0,0.0,2703.0
[,0.0,0.0,0.0,2.0
],0.0,0.0,0.0,3.0
a,0.0,0.0,0.0,44.0
e,0.0,0.0,0.0,4.0
f,0.0,0.0,0.0,608.0
j,0.0,0.0,0.0,170.0
x,0.0,0.0,0.0,30.0
|,0.0,0.0,0.0,34.0
~,0.0,0.0,0.0,176.0
accuracy,0.6793931926690282,0.6793931926690282,0.6793931926690282,0.6793931926690282
macro avg,0.06377739963703016,0.04313523948969954,0.03547705893442276,64930.0
weighted avg,0.5246699393988817,0.6793931926690282,0.5576054615836864,64930.0
