,precision,recall,f1-score,support
!,0.5,0.04504504504504504,0.08264462809917356,111.0
"""",0.0,0.0,0.0,249.0
+,0.0,0.0,0.0,402.0
/,0.925487293362941,0.8626954921803128,0.8929889298892989,4348.0
A,0.6978653530377669,0.3654342218400688,0.4796839729119639,1163.0
E,0.8709677419354839,0.6835443037974683,0.7659574468085106,79.0
F,0.32941176470588235,0.07526881720430108,0.12253829321663019,372.0
J,0.05828220858895705,0.40425531914893614,0.10187667560321716,47.0
L,0.9291795665634675,0.48950050968399594,0.6412071037521698,4905.0
N,0.8636970155228395,0.8721731905050641,0.8679144086261802,44529.0
Q,0.0051129100979974435,0.75,0.010156580617858655,16.0
R,0.9353159851301115,0.5099310903931901,0.6600209863588667,4934.0
S,0.0009718172983479105,1.0,0.001941747572815534,1.0
V,0.43002257336343114,0.14095449500554938,0.21231540819169686,2703.0
[,0.002967359050445104,0.5,0.0058997050147492625,2.0
],0.0,0.0,0.0,3.0
a,0.010380622837370242,0.13636363636363635,0.01929260450160772,44.0
e,0.0022172949002217295,1.0,0.004424778761061947,4.0
f,0.6835443037974683,0.26644736842105265,0.3834319526627219,608.0
j,0.1968503937007874,0.29411764705882354,0.2358490566037736,170.0
x,0.018691588785046728,0.5333333333333333,0.03611738148984198,30.0
|,0.008771929824561403,0.08823529411764706,0.015957446808510637,34.0
~,0.0,0.0,0.0,176.0
accuracy,0.7496072693670106,0.7496072693670106,0.7496072693670106,0.7496072693670106
macro avg,0.3247712053262229,0.3920565114825402,0.24087909163002824,64930.0
weighted avg,0.8367485929501435,0.7496072693670106,0.7771361230678707,64930.0
